generation,subtype,file_name,pages,plates,parts,diagrams,verification_required,sha256,status,duplicate_of,source_path,output_path
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_202365_General_Asia_LHD_HARDTOP_TD42_STD.pdf,337,240,5820,223,0,987eda9c83281e343587c2794045f74c7c514bd5de8a25efef09a6ebed6f9ee8,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_202365_General_Asia_LHD_HARDTOP_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_202365_General_Asia_LHD_HARDTOP_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,335,242,5841,242,0,c2325db4c6c8d23d59b649e1ab53277737e4b674ed3ef25518b69520e3090dbe,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,336,241,5902,241,0,b7cff277807670dbbe82ae8bc193168642b819036b56a7bb561752269cdf72f1,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf,354,253,6635,253,0,ce3712202c1d7b790f83616bdef6029cbeb2b58eeed6aceed6be283e005ec064,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf,356,242,7048,242,0,5aa20e0f4857638803d46bd70c4aee58618d6645e929ba650a159ba0159b2401,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf,99,82,1318,38,0,459a076e16a719638984ecf5b36f6630c560ad92e7bc0fd9bfddb2b277e42c76,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf,155,112,3104,103,1,003540446594dd2a0c4ef0492a6cf21c3e23b8aab93d9ab18859547dfc70b6b1,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf
Y60,Vehicle_Catalogs,Y60_51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,138,121,1455,65,0,43d5ccb110972917c9b5da124142d6eaac15bb66791fd0b34289f2099fd0ad94,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf
Y60,Vehicle_Catalogs,Y60_631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf,231,166,4375,149,0,d8fc1b07c82bf4be6ae1fd4f9b2b660a6d90d03ab5bd95050e468b30e1ebf00c,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf,217,171,3927,139,0,87f537a11851ddbd9efc859a3e24016f6dcfb44ab0a7beb14a93218b45068aef,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf
