"Slot","Removed","RemovedLength","RemovedHash","Kept","KeptLength","KeptHash","Reason"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","5619760","C2325DB4C6C8D23D59B649E1AB53277737E4B674ED3EF25518B69520E3090DBE","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","5688109","B9EAC434A0F9339024F0ED8AA3EE21D0BDFA4F87C80E9D1FF22500B005644612","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","5687986","B7CFF277807670DBBE82AE8BC193168642B819036B56A7BB561752269CDF72F1","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","5758585","EBEEEA002E188CC87100FA822378AC55A76F77867C0BD8329E348CFF75CC2839","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","4786732","CE3712202C1D7B790F83616BDEF6029CBEB2B58EEED6ACEED6BE283E005EC064","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","4860354","0BC175A5C537C8F4A5B105EB54FB61B86842C79228A922ADFD0F58DE99D438E9","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","4878596","5AA20E0F4857638803D46BD70C4AEE58618D6645E929BA650A159BA0159B2401","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","4950865","6CC5447BC8DDA73A2639B63DEDE8329C0A877F14073AFA4DB99CFDFB320E55D3","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf","401278","459A076E16A719638984ECF5B36F6630C560AD92E7BC0FD9BFDDB2B277E42C76","deliverables\final_patrol_catalogs\Pickup\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf","5751068","444885659A6F66C9787F4425D8D623F4273182EEFFF01DCFD59988D127605BA3","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","499534","43D5CCB110972917C9B5DA124142D6EAAC15BB66791FD0B34289F2099FD0AD94","deliverables\final_patrol_catalogs\Pickup\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","7466832","9335D3C1FC5AAB6E576702080C4CAF788603A487ADB1429F73DA6486CD63F59B","Same normalized catalog name; kept larger candidate"
"Pickup","deliverables\final_patrol_catalogs\Pickup\Y60_75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf","854839","87F537A11851DDBD9EFC859A3E24016F6DCFB44AB0A7BEB14A93218B45068AEF","deliverables\final_patrol_catalogs\Pickup\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf","16093432","0E7CF0E6F63BE501348EC74AAF96C02857FC1666448FBB5314525FAB66099EE8","Same normalized catalog name; kept larger candidate"
