generation,discovered_accepted_rows,delivered_pdf_files,status
Pre_Y60,0,5,Available
Y60,86,48,Available
Y61,154,0,Verification Required - no complete local PDF
Y62,65,1,Available
Y63,0,0,Verification Required - no complete local PDF
