"Removed","Length","Hash","Reason"
"deliverables\final_patrol_catalogs\Pre_Y60\160_mq_mk_series_9C3DB6D9.pdf","85787","9C3DB6D9ADC52C1E9F7838F6E4041ABFBA796963B0F2219C908DC1838CF06647","Smaller duplicate after slot review"
"deliverables\final_patrol_catalogs\Pre_Y60\260_series_60523EAF.pdf","85757","60523EAF58064C864D0B8F2927441AFDDAFBD8F51E1F337C466B36824EEDCBD2","Smaller duplicate after slot review"
"deliverables\final_patrol_catalogs\Pre_Y60\4w60_4w_series_543EFF24.pdf","85731","543EFF24D626969A439CED928FBB7B8663DAEBEF203A37787B2AE8949BCDAD8B","Smaller duplicate after slot review"
"deliverables\final_patrol_catalogs\Pre_Y60\60_g60_series_57D56EF1.pdf","85742","57D56EF1029D9A71CFA0F594D3B45DE5A269D227E2693129552088374AB6890E","Smaller duplicate after slot review"
"deliverables\final_patrol_catalogs\Y62\2010_Y62_General_Asia_LHD_PATROL_VK56DE_SE_General_Asia_LHD.pdf","28106018","9B9537826040F37AF3BE5722FD76637CEC2069E48F92747213E77F9B6C0327CB","Smaller duplicate after slot review"
